%Data filename = 
%Multiplication factor for 99.99% Chi2 CL = 4.64272
%Multiplication factor for  99.9% Chi2 CL = 3.74296
%Multiplication factor for   99% Chi2 CL = 2.80198
%Multiplication factor for   95% Chi2 CL = 2.09860
%Multiplication factor for   90% Chi2 CL = 1.77411
%     Frequency       Real_Power   SWA_background        90%Chi2CL        95%Chi2CL        99%Chi2CL      99.9%Chi2CL     99.99%Chi2CL
      0.0000000    12200.1524574    96255.1752062   170766.9588739   202000.9060451   269705.2976887   360279.0216870   446886.1677126
      0.0056747    49872.2415787    96165.8084908   170608.4127783   201813.3612462   269454.8937336   359944.5258772   446471.2627595
      0.0113494    65958.9485073    95898.6072115   170134.3691773   201252.6132095   268706.2004771   358944.4028678   445230.7210904
      0.0170242   145142.7829590    95456.2482811   169349.5772000   200324.2796988   267466.7185818   357288.6722297   443176.9708716
      0.0226989   328642.1901183    94843.1283388   168261.8369538   199037.5874913   265748.7673526   354993.7903957   440330.4244828
      0.0283736   298477.0481882    94065.2689825   166881.8313965   197405.1734999   263569.2192004   352082.2959509   436719.0385390
      0.0340483   303392.6737864    93130.1890591   165222.8997651   195442.8167606   260949.1418012   348582.3316186   432377.7209673
      0.0397231    87643.2453287    92046.7486397   163300.7607722   193169.1110000   257913.3609177   344527.0602682   427347.6066288
      0.0453978    59259.5316344    90824.9701830   161133.1953294   190605.0893284   254489.9593015   339953.9955354   421675.2270282
      0.0510725   106069.0597840    89475.8429707   158739.6995960   187773.8138289   250709.7287256   334904.2698335   415411.6023622
      0.0567472    89173.2100160    88011.1171794   156141.1196398   184699.9433973   246605.5929765   329421.8635731   408611.2854519
      0.0624220    63900.4971509    86443.0939280   153359.2789594   181409.2931355   242212.0195723   323552.8193187   401331.3869924
      0.0680967    98724.0184581    84784.4173383   150416.6095770   177928.3979708   237564.4371183   317344.4634796   393630.6101453
      0.0737714    99000.6450596    83047.8741026   147335.7964500   174284.0920284   232698.6737002   310844.6561007   385568.3199879
      0.0794461   121842.7169781    81246.2053222   144139.4436526   170503.1137562   227650.4296580   304101.0865811   377203.6699309
      0.0851209   100218.2969951    79391.9345149   140849.7692428   166611.7449823   222454.7956673   297160.6299151   368594.8032056
      0.0907956   120109.8509954    77497.2147536   137488.3340696   162635.4901196   217145.8244235   290068.7745371   359798.1431696
      0.0964703   195711.4265753    75573.6969408   134075.8080778   158598.7997271   211756.1615487   282869.1292785   350867.7817418
      0.1021450   237456.8299039    73632.4203019   130631.7760323   154524.8406999   206316.7387575   275603.0134900   341854.9709940
      0.1078198   108587.8666420    71683.7253317   127174.5830749   150435.3135785   200856.5299332   268309.1312034   332807.7189849
      0.1134945    99375.4673334    69737.1886824   123721.2192092   146350.3159046   195402.3686858   261023.3274199   323770.4874628
      0.1191692    56780.9735229    67801.5788623   120287.2407053   142288.2492513   189978.8242206   253778.4222928   314783.9861880
      0.1248439    26647.6476584    65884.8311301   116886.7255594   138265.7665356   184608.1309918   246604.1171574   305885.0563727
      0.1305187     7925.3183847    63994.0396189   113532.2595213   134297.7554902   179310.1666352   239526.9650522   297106.6341159
      0.1361934    35952.8109599    62135.4645056   110234.9488131   130397.3537089   174102.4720554   232570.3975523   288477.7836879
      0.1418681   148048.1762288    60314.5519355   107004.4554780   126575.9904606   169000.3072551   225754.7993475   280023.7900356
      0.1475428   177804.5066301    58535.9644107   103849.0512926   122843.4504623   164016.7364826   219097.6219847   271766.2998672
      0.1532176   146045.7355642    56803.6194282   100775.6863151   119207.9549651   159162.7364956   212613.5284886   263723.5010387
      0.1588923   109492.3950462    55120.7342962    97790.0683937   115676.2558050   154447.3221346   206314.5611068   255910.3306226
      0.1645670    23573.5945357    53489.8752438    94896.7502928   112253.7384649   149877.6839278   200210.3251251   248338.7029106
      0.1702417    16184.9006173    51913.0091541    92099.2214730   108944.5306415   145459.3330470   194308.1825034   241017.7495974
      0.1759165    18972.8401874    50391.5564816    89400.0019723   105751.6132976   141196.2495808   188613.4499426   233954.0654607
      0.1815912    12799.9122133    48926.4441443    86800.7362423   102676.9316615   137091.0307369   183129.5968572   227151.9539246
      0.1872659     8873.4117125    47518.1574051    84302.2851911    99721.5041046   133145.0362133   177858.4395654   220613.6679303
      0.1929406    11033.9421984    46166.7899665    81904.8150571    96885.5272712   129358.5285631   172800.3287922   214339.6425132
      0.1986154    14000.8370563    44872.0916931    79607.8820731    94168.4762272   125730.8069107   167954.3282906   208328.7163628
      0.2042901    23921.5717540    43633.5135419    77410.5121785    91569.1987524   122260.3328478   163318.3830167   202578.3404251
      0.2099648    21113.6344726    42450.2494293    75311.2752946    89086.0032013   118944.8477422   158889.4758334   197084.7722762
      0.2156395    84918.7441750    41321.2748803    73308.3538936    86716.7396131   115781.4810332   154663.7721750   191843.2555623
      0.2213143    76426.6288050    40245.3824092    71399.6057668    84458.8739606   112766.8493671   150636.7524734   186848.1842608
      0.2269890    60082.2861435    39221.2136564    69582.6210393    82309.5555933   109897.1466443   146803.3324466   182093.2518838
      0.2326637    40467.7940110    38247.2883690    67854.7735844    80265.6780558   107168.2252227   143157.9715714   177571.5860265
      0.2383384    27017.8907688    37322.0303559    66213.2670708    78323.9335566   104575.6686424   139694.7702312   173275.8688691
      0.2440132    32624.7282071    36443.7905781    64655.1759272    76480.8614261   102114.8563255   136407.5561435   169198.4443795
      0.2496879    36272.1087674    35610.8675556    63177.4815464    74732.8909420    99781.0207552   133289.9607412   165331.4130566
      0.2553626    62736.5850856    34821.5252803    61777.1040646    73076.3789212    97569.2976671   130335.4862194   161666.7150944
      0.2610373    65130.8451240    34074.0088267    60450.9300566    71507.6424809    95474.7697916   127537.5639673   158196.2028593
      0.2667121    61543.1467327    33366.5578501    59195.8364831    70022.9873656    93492.5046735   124889.6050894   154911.7035574
      0.2723868    46153.2912275    32697.4181519    58008.7112082    68618.7322175    91617.5870796   122385.0436949   151805.0729294
      0.2780615    30589.7807556    32064.8514832    56886.4703930    67291.2291515    89845.1464673   120017.3735924   148868.2407666
      0.2837362    30566.0115212    31467.1437450    55826.0730425    66036.8809628    88170.3799612   117780.1789821   146093.2489806
      0.2894110    27256.4610003    30902.6117292    54824.5329662    64852.1552747    86588.5712424   115667.1596881   143472.2829022
      0.2950857    23296.0908294    30369.6085340    53878.9283841    63733.5959023    85095.1057208   113672.1514266   140997.6964210
      0.3007604    22117.4378825    29866.5277714    52986.4093927    62677.8316835    83685.4823260   111789.1415564   138662.0315224
      0.3064351    41061.2945937    29391.8066771    52144.2034811    61681.5830044    82355.3222201   110012.2807170   136458.0327234
      0.3121099    50037.6743667    28943.9282189    51349.6192721    60741.6662242    81100.3747055   108335.8907213   134378.6568628
      0.3177846    41887.4239744    28521.4222943    50600.0486470    59854.9961891    79916.5205811   106754.4690384   132417.0786613
      0.3234593    37210.7485941    28122.8661002    49892.9674012    59018.5870075    78799.7731777   105262.6901767   130566.6924371
      0.3291340    24715.2371166    27746.8837524    49225.9345689    58229.5512517    77746.2772920   103855.4042601   128821.1103403
      0.3348088    12054.5320610    27392.1452300    48596.5905516    57485.0977429    76752.3062295   102527.6330778   127174.1574523
      0.3404835    22819.8876663    27057.3647192    48002.6541778    56782.5280747    75814.2571622   101274.5638829   125619.8640944
      0.3461582    21197.5477904    26741.2984285    47441.9188288    56119.2320290    74928.6450085   100091.5412168   124152.4556866
      0.3518329    28167.7544286    26442.7419524    46912.2477604    55492.6820428    74092.0950452    98974.0570407   122766.3405068
      0.3575077    23845.0422710    26160.5272600    46411.5687615    54900.4268895    73301.3344710    97917.7394656   121456.0957115
      0.3631824    46626.4544114    25893.5193913    45937.8682915    54340.0847439    72553.1831477    96918.3403839   120216.4519943
      0.3688571    54637.2073087    25640.6129438    45489.1852484    53809.3358108    71844.5437569    95971.7223210   119042.2772772
      0.3745318    65451.5636126    25400.7284404    45063.6045247    53305.9147019    71172.3916231    95073.8448404   117928.5598464
      0.3802066    41559.8182546    25172.8086701    44659.2505151    52827.6027566    70533.7644599    94220.7508465   116870.3913640
      0.3858813    45614.7215362    24955.8150981    44274.2807479    52372.2205077    69925.7523107    93408.5531471   115862.9501991
      0.3915560    43971.1842440    24748.7244421    43906.8798112    51937.6204974    69345.4879572    92633.4216411   114901.4855359
      0.3972307    27903.1971493    24550.5255169    43555.2537543    51521.6806543    68790.1380758    91891.5715044   113981.3027203
      0.4029055    31617.7424168    24360.2164433    43217.6251367    51122.2984370    68256.8954191    91179.2527464   113097.7503045
      0.4085802    17919.1477253    24176.8023212    42892.2288993    50737.3859504    67742.9722946    90492.7414984   112246.2092426
      0.4142549    18320.8853417    23999.2934585    42577.3092226    50364.8662285    67245.5956023    89828.3333846   111422.0846672
      0.4199296    12270.7849076    23826.7042423    42271.1175241    50002.6708662    66762.0036724    89182.3392981   110620.8006504
      0.4256044     9605.5668956    23658.0527310    41971.9117345    49648.7391632    66289.4451220    88551.0838734   109837.7983089
      0.4312791     9800.8371041    23492.3610326    41677.9569692    49301.0189173    65825.1799152    87930.9069027   109068.5375608
      0.4369538    17992.0557438    23328.6565216    41387.5276865    48957.4689786    65366.4827721    87318.1678895   108308.5027740
      0.4426285    21196.8964346    23165.9739280    41098.9113943    48616.0636335    64910.6490235    86709.2538696   107553.2124672
      0.4483033    29327.9558512    23003.3583149    40810.4139327    48274.7988536    64455.0029531    86100.5905550   106798.2331325
      0.4539780    26351.1557598    22839.8689364    40520.3663179    47931.7003915    63996.9086075    85488.6567735   106039.1971465
      0.4596527    16443.0710873    22674.5839443    40227.1330929    47584.8336584    63533.7829843    84870.0020868   105271.8246229
      0.4653274    12699.3580732    22506.6058867    39929.1220821    47232.3152638    63063.1114392    84241.2673706   104491.9489407
      0.4710022     9921.9470457    22335.0679141    39624.7954021    46872.3260392    62582.4650754    83599.2080444   103695.5455575
      0.4766769    24444.7245852    22159.1405823    39312.6815301    46503.1253148    62089.5198049    82940.7195336   102878.7635931
      0.4823516    20750.3557436    21978.0391151    38991.3881893    46123.0661606    61582.0766982    82262.8644539   102037.9595479
      0.4880263    20387.8345469    21791.0309655    38659.6157634    45730.6112555    61058.0831722    81562.9009140   101169.7324099
      0.4937011    20048.8062597    21597.4434953    38316.1709201    45324.3490022    60515.6545063    80838.3112573   100270.9593052
      0.4993758    37530.8729490    21396.6715722    37959.9800903    44903.0094713    59953.0951305    80086.8304992    99338.8307719
      0.5050505    35656.6672804    21188.1848762    37590.1024295    44465.4797343    59368.9190975    79306.4736747    98370.8846807
      0.5107252    33232.0082451    20971.5346996    37205.7418824    44010.8181341    58761.8691361    78495.5612896    97365.0378056
      0.5164000    11866.9187898    20746.3600268    36806.2579689    43538.2670446    58130.9336875    77652.7420787    96319.6140520
      0.5220747    15829.5868743    20512.3926917    36391.1749336    43047.2636926    57475.3613546    76777.0123071    95233.3683979
      0.5277494    13419.4506862    20269.4614233    35960.1889234    42537.4486492    56794.6722392    75867.7309150    94105.5056797
      0.5334241    24608.7956910    20017.4946198    35513.1729092    42008.6716511    56088.6657144    74924.6298997    92935.6934700
      0.5390989    39188.6511682    19756.5217189    35050.1791165    41460.9944762    55357.4242641    73947.8194455    91724.0684399
      0.5447736    43919.6103298    19486.6730717    34571.4388020    40894.6906787    54601.3131294    72937.7874505    90471.2357732
      0.5504483    56822.7507086    19208.1782681    34077.3592830    40310.2420760    53820.9756177    71895.3932606    89178.2613929
      0.5561230    27705.3569672    18921.3629083    33568.5182088    39708.3319717    53017.3240548    70821.8555832    87846.6569706
      0.5617978    27910.5496912    18626.6438585    33045.6551446    39089.8352004    52191.5264924    69718.7347307    86478.3579007
      0.5674725    21263.0644596    18324.5230761    32509.6606163    38455.8051688    51344.9894061    68587.9095082    85075.6946324
      0.5731472    19160.6586520    18015.5801308    31961.5628427    37807.4581606    50479.3367401    67431.5492205    83641.3579480
      0.5788219    24002.9006761    17700.4635863    31402.5124448    37146.1552502    49596.3857583    66252.0814139    82178.3589491
      0.5844967    20911.5639936    17379.8814377    30833.7654817    36473.3822349    48698.1202509    65052.1560842    80689.9846619
      0.5901714    16759.7042615    17054.5908254    30256.6652011    35790.7280474    47786.6617111    63834.6071750    79179.7502788
      0.5958461    25728.9926118    16725.3872590    29672.6229223    35099.8621429    46864.2391434    62602.4122455    77651.3491319
      0.6015208    20493.7737401    16393.0935961    29083.0984822    34402.5113683    45933.1581798    61358.6512161    76108.6015211
      0.6071956    17948.6905536    16058.5490139    28489.5806709    33700.4368193    44995.7701802    60106.4650917    74555.4035142
      0.6128703    13238.7343392    15722.5982062    27893.5680656    32995.4111687    44054.4419619    58849.0155256    72995.6767917
      0.6185450    16040.9144258    15386.0810188    27296.5506421    32289.1969147    43111.5267575    57589.4460240    71433.3205243
      0.6242197    14022.8387273    15049.8227123    26699.9925008    31583.5259474    42169.3369326    56330.8455023    69872.1661691
      0.6298945    16333.1643943    14714.6250156    26105.3159946    30880.0807737    41230.1189177    55076.2147982    68315.9359322
      0.6355692    18774.6181695    14381.2581001    25513.8874900    30180.4776738    40296.0307196    53828.4366305    66768.2055067
      0.6412439    26023.3082707    14050.4535714    24927.0049329    29486.2519931    39369.1222837    52590.2493670    65232.3715342
      0.6469186    33533.5682277    13722.8985416    24345.8873339    28798.8457038    38451.3188862    51364.2248396    63711.6240868
      0.6525933    19631.5763404    13399.2308148    23771.6662257    28119.5973006    37544.4076432    50152.7503220    62208.9243129
      0.6582681    15186.6057537    13080.0351855    23205.3790959    27449.7340317    36650.0271382    48958.0146749    60726.9872513
      0.6639428     7073.0388492    12765.8408231    22647.9647475    26790.3664107    35769.6600943    47781.9985566    59268.2696889
      0.6696175    13367.0784271    12457.1196932    22100.2604979    26142.4849037    34904.6289511    46626.4685143    57834.9628318
      0.6752922    13485.1172395    12154.2859460    21563.0010941    25506.9586458    34056.0941502    45492.9746952    56428.9894654
      0.6809670    15998.0444262    11857.6961878    21036.8191934    24884.5360098    33225.0548959    44382.8518608    55052.0052135
      0.6866417     7294.9925655    11567.6505392    20522.2472420    24275.8468283    32412.3521209    43297.2233500    53705.4034533
      0.6923164    10490.0594982    11284.3943796    20019.7205690    23681.4060540    31618.6733740    42237.0076074    52390.3234135
      0.6979911     8442.9145585    11008.1206721    19529.5815116    23101.6186388    30844.5593342    41202.9268855    51107.6609684
      0.7036659    14707.1810982    10738.9727646    19052.0843841    22536.7854122    30090.4116598    40195.5177293    49858.0816423
      0.7093406    11871.1386716    10477.0475649    18587.4011117    21987.1097450    29356.5018850    39215.1428612    48642.0353522
      0.7150153    19398.0360696    10222.3989947    18135.6273570    21452.7047971    28642.9810974    38262.0041075    47459.7724412
      0.7206900    17888.5951672     9975.0416312    17696.7889814    20933.6011598    27949.8901417    37336.1560296    46311.3605868
