%Data filename =  
%     Frequency   Period/Wavelength       Rel. Power   SWA_background
      0.0000000              Inf    12200.1524574    96255.1752062
      0.0056747      176.2200000    49872.2415787    96165.8084908
      0.0113494       88.1100000    65958.9485073    95898.6072115
      0.0170242       58.7400000   145142.7829590    95456.2482811
      0.0226989       44.0550000   328642.1901183    94843.1283388
      0.0283736       35.2440000   298477.0481882    94065.2689825
      0.0340483       29.3700000   303392.6737864    93130.1890591
      0.0397231       25.1742857    87643.2453287    92046.7486397
      0.0453978       22.0275000    59259.5316344    90824.9701830
      0.0510725       19.5800000   106069.0597840    89475.8429707
      0.0567472       17.6220000    89173.2100160    88011.1171794
      0.0624220       16.0200000    63900.4971509    86443.0939280
      0.0680967       14.6850000    98724.0184581    84784.4173383
      0.0737714       13.5553846    99000.6450596    83047.8741026
      0.0794461       12.5871429   121842.7169781    81246.2053222
      0.0851209       11.7480000   100218.2969951    79391.9345149
      0.0907956       11.0137500   120109.8509954    77497.2147536
      0.0964703       10.3658824   195711.4265753    75573.6969408
      0.1021450        9.7900000   237456.8299039    73632.4203019
      0.1078198        9.2747368   108587.8666420    71683.7253317
      0.1134945        8.8110000    99375.4673334    69737.1886824
      0.1191692        8.3914286    56780.9735229    67801.5788623
      0.1248439        8.0100000    26647.6476584    65884.8311301
      0.1305187        7.6617391     7925.3183847    63994.0396189
      0.1361934        7.3425000    35952.8109599    62135.4645056
      0.1418681        7.0488000   148048.1762288    60314.5519355
      0.1475428        6.7776923   177804.5066301    58535.9644107
      0.1532176        6.5266667   146045.7355642    56803.6194282
      0.1588923        6.2935714   109492.3950462    55120.7342962
      0.1645670        6.0765517    23573.5945357    53489.8752438
      0.1702417        5.8740000    16184.9006173    51913.0091541
      0.1759165        5.6845161    18972.8401874    50391.5564816
      0.1815912        5.5068750    12799.9122133    48926.4441443
      0.1872659        5.3400000     8873.4117125    47518.1574051
      0.1929406        5.1829412    11033.9421984    46166.7899665
      0.1986154        5.0348571    14000.8370563    44872.0916931
      0.2042901        4.8950000    23921.5717540    43633.5135419
      0.2099648        4.7627027    21113.6344726    42450.2494293
      0.2156395        4.6373684    84918.7441750    41321.2748803
      0.2213143        4.5184615    76426.6288050    40245.3824092
      0.2269890        4.4055000    60082.2861435    39221.2136564
      0.2326637        4.2980488    40467.7940110    38247.2883690
      0.2383384        4.1957143    27017.8907688    37322.0303559
      0.2440132        4.0981395    32624.7282071    36443.7905781
      0.2496879        4.0050000    36272.1087674    35610.8675556
      0.2553626        3.9160000    62736.5850856    34821.5252803
      0.2610373        3.8308696    65130.8451240    34074.0088267
      0.2667121        3.7493617    61543.1467327    33366.5578501
      0.2723868        3.6712500    46153.2912275    32697.4181519
      0.2780615        3.5963265    30589.7807556    32064.8514832
      0.2837362        3.5244000    30566.0115212    31467.1437450
      0.2894110        3.4552941    27256.4610003    30902.6117292
      0.2950857        3.3888462    23296.0908294    30369.6085340
      0.3007604        3.3249057    22117.4378825    29866.5277714
      0.3064351        3.2633333    41061.2945937    29391.8066771
      0.3121099        3.2040000    50037.6743667    28943.9282189
      0.3177846        3.1467857    41887.4239744    28521.4222943
      0.3234593        3.0915789    37210.7485941    28122.8661002
      0.3291340        3.0382759    24715.2371166    27746.8837524
      0.3348088        2.9867797    12054.5320610    27392.1452300
      0.3404835        2.9370000    22819.8876663    27057.3647192
      0.3461582        2.8888525    21197.5477904    26741.2984285
      0.3518329        2.8422581    28167.7544286    26442.7419524
      0.3575077        2.7971429    23845.0422710    26160.5272600
      0.3631824        2.7534375    46626.4544114    25893.5193913
      0.3688571        2.7110769    54637.2073087    25640.6129438
      0.3745318        2.6700000    65451.5636126    25400.7284404
      0.3802066        2.6301493    41559.8182546    25172.8086701
      0.3858813        2.5914706    45614.7215362    24955.8150981
      0.3915560        2.5539130    43971.1842440    24748.7244421
      0.3972307        2.5174286    27903.1971493    24550.5255169
      0.4029055        2.4819718    31617.7424168    24360.2164433
      0.4085802        2.4475000    17919.1477253    24176.8023212
      0.4142549        2.4139726    18320.8853417    23999.2934585
      0.4199296        2.3813514    12270.7849076    23826.7042423
      0.4256044        2.3496000     9605.5668956    23658.0527310
      0.4312791        2.3186842     9800.8371041    23492.3610326
      0.4369538        2.2885714    17992.0557438    23328.6565216
      0.4426285        2.2592308    21196.8964346    23165.9739280
      0.4483033        2.2306329    29327.9558512    23003.3583149
      0.4539780        2.2027500    26351.1557598    22839.8689364
      0.4596527        2.1755556    16443.0710873    22674.5839443
      0.4653274        2.1490244    12699.3580732    22506.6058867
      0.4710022        2.1231325     9921.9470457    22335.0679141
      0.4766769        2.0978571    24444.7245852    22159.1405823
      0.4823516        2.0731765    20750.3557436    21978.0391151
      0.4880263        2.0490698    20387.8345469    21791.0309655
      0.4937011        2.0255172    20048.8062597    21597.4434953
      0.4993758        2.0025000    37530.8729490    21396.6715722
      0.5050505        1.9800000    35656.6672804    21188.1848762
      0.5107252        1.9580000    33232.0082451    20971.5346996
      0.5164000        1.9364835    11866.9187898    20746.3600268
      0.5220747        1.9154348    15829.5868743    20512.3926917
      0.5277494        1.8948387    13419.4506862    20269.4614233
      0.5334241        1.8746809    24608.7956910    20017.4946198
      0.5390989        1.8549474    39188.6511682    19756.5217189
      0.5447736        1.8356250    43919.6103298    19486.6730717
      0.5504483        1.8167010    56822.7507086    19208.1782681
      0.5561230        1.7981633    27705.3569672    18921.3629083
      0.5617978        1.7800000    27910.5496912    18626.6438585
      0.5674725        1.7622000    21263.0644596    18324.5230761
      0.5731472        1.7447525    19160.6586520    18015.5801308
      0.5788219        1.7276471    24002.9006761    17700.4635863
      0.5844967        1.7108738    20911.5639936    17379.8814377
      0.5901714        1.6944231    16759.7042615    17054.5908254
      0.5958461        1.6782857    25728.9926118    16725.3872590
      0.6015208        1.6624528    20493.7737401    16393.0935961
      0.6071956        1.6469159    17948.6905536    16058.5490139
      0.6128703        1.6316667    13238.7343392    15722.5982062
      0.6185450        1.6166972    16040.9144258    15386.0810188
