%T(Ga)     a (RE)      amin        amax         lod       lodmin      lodmax       obli       oblimin     oblimax       pre           premin        premax
 0.000   60.142611   60.142611   60.142611   23.999996   23.999996   23.999996   23.254500   23.254500   23.254500     50.467727     50.467727     50.467727
 0.001   60.136601   60.136627   60.136575   23.994244   23.994269   23.994218   23.251864   23.251864   23.251864     50.491184     50.491236     50.491131
 0.002   60.130591   60.130199   60.131109   23.988462   23.988086   23.988961   23.249229   23.249228   23.249229     50.514718     50.513672     50.515510
 0.003   60.124581   60.123942   60.125218   23.982684   23.982069   23.983296   23.246593   23.246593   23.246593     50.538263     50.536975     50.539553
 0.004   60.118570   60.117719   60.119421   23.976907   23.976089   23.977724   23.243958   23.243957   23.243958     50.561819     50.560101     50.563538
 0.005   60.112560   60.111494   60.113626   23.971133   23.970108   23.972156   23.241323   23.241322   23.241323     50.585385     50.583231     50.587541
 0.006   60.106550   60.105265   60.107834   23.965361   23.964127   23.966594   23.238688   23.238687   23.238688     50.608961     50.606365     50.611560
 0.007   60.100540   60.099033   60.102046   23.959592   23.958146   23.961037   23.236053   23.236052   23.236054     50.632548     50.629503     50.635595
 0.008   60.094530   60.092799   60.096260   23.953825   23.952165   23.955484   23.233419   23.233418   23.233420     50.656145     50.652646     50.659647
 0.009   60.088520   60.086563   60.090475   23.948061   23.946185   23.949936   23.230786   23.230785   23.230787     50.679752     50.675796     50.683713
 0.010   60.082510   60.080320   60.084697   23.942300   23.940201   23.944397   23.228153   23.228151   23.228154     50.703370     50.698943     50.707801
 0.011   60.075766   60.073341   60.078194   23.935838   23.933515   23.938164   23.225199   23.225197   23.225200     50.729884     50.724969     50.734793
 0.012   60.069022   60.066356   60.071696   23.929378   23.926827   23.931940   23.222246   23.222244   23.222247     50.756412     50.750995     50.761811
 0.013   60.062277   60.059365   60.065204   23.922923   23.920136   23.925724   23.219293   23.219291   23.219295     50.782952     50.777024     50.788852
 0.014   60.055533   60.052370   60.058716   23.916470   23.913445   23.919515   23.216342   23.216340   23.216345     50.809505     50.803056     50.815915
 0.015   60.048789   60.045373   60.052230   23.910020   23.906754   23.913311   23.213392   23.213389   23.213395     50.836071     50.829096     50.842996
 0.016   60.042045   60.038375   60.045745   23.903574   23.900067   23.907110   23.210443   23.210440   23.210446     50.862650     50.855148     50.870092
 0.017   60.035301   60.031378   60.039259   23.897131   23.893385   23.900912   23.207495   23.207492   23.207499     50.889242     50.881215     50.897198
 0.018   60.028557   60.024384   60.032771   23.890690   23.886708   23.894714   23.204549   23.204545   23.204553     50.915847     50.907299     50.924313
 0.019   60.021813   60.017392   60.026280   23.884253   23.880036   23.888516   23.201603   23.201599   23.201608     50.942465     50.933400     50.951436
 0.020   60.013600   60.008941   60.018325   23.876420   23.871977   23.880925   23.198018   23.198013   23.198023     50.974895     50.965305     50.984354
 0.021   60.007192   60.002287   60.012162   23.870309   23.865634   23.875047   23.195222   23.195216   23.195227     51.000216     50.990124     51.010177
 0.022   60.000799   59.995650   60.006013   23.864217   23.859312   23.869186   23.192433   23.192427   23.192439     51.025484     51.014894     51.035944
 0.023   59.994423   59.989031   59.999879   23.858143   23.853009   23.863340   23.189653   23.189646   23.189660     51.050701     51.039615     51.061656
 0.024   59.988063   59.982430   59.993760   23.852087   23.846726   23.857511   23.186881   23.186873   23.186888     51.075864     51.064286     51.087313
 0.025   59.981719   59.975845   59.987656   23.846049   23.840462   23.851700   23.184116   23.184108   23.184124     51.100976     51.088906     51.112917
 0.026   59.975391   59.969277   59.981568   23.840029   23.834217   23.845905   23.181360   23.181351   23.181368     51.126036     51.113475     51.138469
 0.027   59.969079   59.962726   59.975495   23.834028   23.827990   23.840129   23.178611   23.178602   23.178620     51.151043     51.137993     51.163967
 0.028   59.962783   59.956191   59.969437   23.828045   23.821783   23.834369   23.175870   23.175860   23.175880     51.175999     51.162461     51.189411
 0.029   59.956503   59.949674   59.963393   23.822079   23.815594   23.828625   23.173137   23.173126   23.173147     51.200902     51.186880     51.214801
 0.030   59.950239   59.943175   59.957364   23.816131   23.809426   23.822896   23.170411   23.170400   23.170423     51.225754     51.211251     51.240135
 0.031   59.943991   59.936694   59.951348   23.810200   23.803278   23.817183   23.167694   23.167682   23.167706     51.250554     51.235574     51.265414
 0.032   59.937758   59.930230   59.945346   23.804288   23.797149   23.811486   23.164984   23.164971   23.164996     51.275303     51.259849     51.290638
 0.033   59.931542   59.923784   59.939358   23.798393   23.791039   23.805805   23.162281   23.162268   23.162295     51.300000     51.284075     51.315807
 0.034   59.925341   59.917354   59.933385   23.792515   23.784948   23.800141   23.159587   23.159572   23.159601     51.324645     51.308252     51.340923
 0.035   59.919156   59.910941   59.927427   23.786656   23.778877   23.794492   23.156899   23.156884   23.156914     51.349239     51.332379     51.365986
 0.036   59.912986   59.904544   59.921484   23.780813   23.772822   23.788861   23.154220   23.154204   23.154236     51.373782     51.356456     51.390998
 0.037   59.906833   59.898164   59.915556   23.774988   23.766786   23.783245   23.151548   23.151531   23.151564     51.398274     51.380482     51.415957
 0.038   59.900694   59.891799   59.909642   23.769180   23.760768   23.777647   23.148883   23.148865   23.148901     51.422715     51.404460     51.440863
 0.039   59.894572   59.885452   59.903743   23.763389   23.754769   23.772064   23.146226   23.146207   23.146245     51.447104     51.428389     51.465716
 0.040   59.888464   59.879122   59.897857   23.757616   23.748789   23.766496   23.143576   23.143557   23.143596     51.471443     51.452270     51.490514
 0.041   59.882373   59.872809   59.891985   23.751860   23.742828   23.760944   23.140934   23.140913   23.140955     51.495731     51.476105     51.515259
 0.042   59.876296   59.866514   59.886126   23.746121   23.736886   23.755406   23.138300   23.138278   23.138321     51.519969     51.499892     51.539949
