Undatable run on 2023-10-03 15:13:42. nsim=100000 bootpc=30 xfactor=0.1 combine=Yes
Depth	Median age	Mean age	95.4% age	68.2% age	68.2% age	95.4% age	Median SAR	
58.400000	251845	251848	251735	251783	251914	251980	21650.10
59.000000	251845	251848	251735	251783	251914	251980	675.15
60.000000	251847	251850	251737	251785	251915	251981	670.48
61.000000	251848	251851	251740	251786	251916	251982	688.77
62.000000	251849	251853	251742	251788	251918	251983	641.91
63.000000	251851	251854	251744	251790	251919	251983	652.55
64.000000	251853	251855	251746	251792	251920	251984	644.68
65.000000	251854	251857	251748	251794	251921	251985	668.12
66.000000	251856	251858	251750	251796	251922	251985	622.34
67.000000	251857	251860	251752	251797	251923	251986	654.74
68.000000	251859	251861	251754	251799	251924	251987	626.04
69.000000	251860	251863	251756	251801	251925	251988	651.01
70.000000	251862	251864	251757	251802	251926	251989	657.97
71.000000	251863	251866	251759	251804	251928	251989	649.79
72.000000	251865	251867	251760	251806	251929	251990	647.76
73.000000	251866	251869	251762	251808	251930	251991	628.79
74.000000	251868	251870	251763	251809	251931	251992	651.75
75.000000	251870	251872	251765	251811	251932	251993	622.53
76.000000	251871	251873	251766	251812	251934	251994	646.01
77.000000	251873	251874	251768	251814	251935	251995	652.13
78.000000	251874	251876	251769	251816	251936	251996	669.60
79.000000	251876	251877	251771	251817	251938	251997	651.26
80.000000	251877	251879	251772	251819	251939	251998	658.99
81.000000	251879	251880	251773	251820	251940	251999	683.24
82.000000	251880	251882	251774	251822	251942	252000	708.69
83.000000	251882	251883	251775	251823	251943	252001	691.65
84.000000	251883	251884	251777	251825	251944	252002	711.31
85.000000	251885	251886	251778	251826	251946	252003	674.39
86.000000	251886	251887	251779	251827	251947	252004	706.31
87.000000	251887	251889	251780	251829	251948	252005	701.60
88.000000	251889	251890	251781	251830	251950	252006	705.34
89.000000	251890	251891	251782	251831	251951	252007	732.46
90.000000	251892	251893	251783	251833	251952	252008	715.69
91.000000	251893	251894	251785	251834	251953	252009	660.67
92.000000	251895	251895	251786	251836	251955	252010	708.62
93.000000	251896	251897	251787	251837	251956	252012	689.11
94.000000	251897	251898	251788	251838	251957	252013	699.71
95.000000	251899	251899	251789	251840	251959	252014	702.79
96.000000	251900	251901	251790	251841	251960	252015	698.41
97.000000	251902	251902	251791	251842	251962	252017	737.67
98.000000	251903	251903	251792	251844	251963	252018	712.23
99.000000	251904	251905	251793	251845	251965	252019	698.08
100.000000	251906	251906	251794	251846	251966	252020	673.44
101.000000	251907	251908	251795	251847	251968	252022	676.92
102.000000	251909	251909	251796	251849	251969	252023	707.86
103.000000	251910	251910	251797	251850	251971	252025	672.81
104.000000	251912	251912	251798	251851	251972	252026	714.87
105.000000	251913	251913	251799	251852	251974	252028	697.49
106.000000	251915	251915	251800	251854	251975	252029	733.57
107.000000	251916	251916	251801	251855	251977	252031	716.37
108.000000	251917	251917	251802	251856	251978	252033	703.94
109.000000	251919	251919	251803	251857	251980	252035	718.35
110.000000	251920	251920	251804	251859	251982	252036	746.12
111.000000	251922	251922	251805	251860	251983	252038	709.97
112.000000	251923	251923	251806	251861	251985	252040	718.30
113.000000	251924	251924	251807	251862	251987	252042	726.08
114.000000	251926	251926	251807	251863	251988	252044	734.45
115.000000	251927	251927	251808	251864	251990	252046	714.88
116.000000	251928	251929	251809	251866	251992	252049	738.87
117.000000	251930	251930	251810	251867	251993	252051	752.75
118.000000	251931	251932	251811	251868	251995	252054	637.20
119.000000	251933	251933	251812	251869	251997	252056	533.65
120.000000	251935	251935	251815	251871	251999	252058	461.97
121.000000	251937	251937	251818	251874	252001	252061	386.17
122.000000	251939	251940	251823	251877	252004	252064	355.44
123.000000	251942	251943	251828	251880	252006	252067	351.11
124.000000	251945	251946	251833	251883	252009	252070	349.92
125.000000	251948	251949	251837	251887	252012	252074	347.05
126.000000	251951	251952	251841	251890	252015	252077	348.81
127.000000	251954	251956	251845	251893	252018	252081	352.41
128.000000	251956	251959	251849	251896	252021	252084	354.62
129.000000	251959	251962	251852	251899	252024	252088	349.98
130.000000	251962	251965	251854	251902	252027	252092	330.57
131.000000	251965	251968	251857	251905	252031	252096	342.82
132.000000	251968	251971	251859	251907	252034	252100	350.02
133.000000	251971	251974	251861	251910	252037	252104	342.27
134.000000	251974	251977	251863	251913	252041	252109	341.64
135.000000	251977	251980	251865	251915	252045	252113	354.55
136.000000	251980	251983	251866	251917	252048	252118	371.15
137.000000	251982	251986	251868	251919	252052	252123	351.14
138.000000	251985	251989	251870	251922	252056	252129	374.34
139.000000	251988	251992	251871	251924	252060	252134	367.06
140.000000	251991	251995	251873	251926	252064	252139	360.45
141.000000	251993	251998	251874	251928	252068	252144	368.27
142.000000	251996	252000	251875	251930	252072	252150	357.19
143.000000	251999	252003	251877	251932	252076	252156	352.28
144.000000	252002	252007	251878	251934	252080	252161	363.22
145.000000	252004	252010	251879	251935	252084	252167	352.60
146.000000	252007	252013	251880	251937	252088	252172	350.03
147.000000	252010	252016	251881	251939	252093	252178	353.75
148.000000	252013	252018	251882	251941	252097	252184	347.77
149.000000	252016	252021	251883	251942	252101	252189	366.30
150.000000	252019	252024	251884	251944	252106	252195	340.97
151.000000	252021	252027	251886	251946	252110	252200	302.68
152.000000	252025	252031	251887	251948	252115	252205	270.45
153.000000	252028	252034	251890	251950	252119	252211	252.35
154.000000	252032	252038	251892	251954	252124	252215	230.67
155.000000	252037	252042	251895	251957	252128	252220	215.29
156.000000	252041	252047	251899	251962	252133	252225	202.04
157.000000	252046	252052	251903	251966	252137	252229	186.42
158.000000	252052	252057	251908	251972	252142	252234	178.24
159.000000	252057	252062	251913	251978	252147	252238	167.98
160.000000	252063	252068	251920	251985	252152	252242	165.33
161.000000	252069	252074	251927	251992	252157	252247	161.34
162.000000	252076	252080	251934	251998	252162	252250	163.62
163.000000	252082	252086	251941	252005	252167	252255	160.99
164.000000	252088	252092	251947	252012	252172	252259	159.20
165.000000	252094	252098	251954	252018	252178	252264	158.93
166.000000	252100	252104	251960	252025	252183	252268	156.35
167.000000	252107	252110	251966	252031	252189	252272	156.20
168.000000	252113	252116	251971	252037	252195	252277	160.25
169.000000	252119	252122	251977	252044	252200	252281	159.29
170.000000	252126	252128	251983	252050	252206	252286	157.63
171.000000	252132	252134	251988	252056	252212	252291	156.48
172.000000	252138	252140	251993	252062	252217	252295	159.77
173.000000	252145	252146	251999	252068	252223	252300	160.98
174.000000	252151	252152	252004	252074	252229	252304	163.45
175.000000	252157	252158	252009	252080	252235	252309	160.87
176.000000	252163	252163	252014	252086	252241	252314	162.84
177.000000	252169	252169	252019	252091	252247	252319	162.51
178.000000	252176	252175	252024	252097	252252	252324	163.03
179.000000	252182	252181	252029	252103	252258	252329	166.41
180.000000	252188	252187	252034	252109	252264	252334	166.06
181.000000	252194	252192	252039	252115	252270	252339	164.94
182.000000	252200	252198	252043	252121	252275	252345	163.27
183.000000	252206	252204	252048	252127	252281	252350	159.03
184.000000	252212	252210	252053	252133	252287	252355	160.10
185.000000	252218	252216	252058	252139	252293	252361	157.18
186.000000	252225	252222	252063	252145	252299	252367	160.24
187.000000	252231	252229	252067	252152	252305	252372	156.18
188.000000	252237	252235	252072	252158	252312	252378	152.56
189.000000	252244	252241	252077	252164	252318	252384	153.90
190.000000	252251	252247	252081	252170	252324	252390	154.74
191.000000	252257	252253	252086	252176	252331	252396	155.63
192.000000	252263	252259	252090	252182	252337	252403	153.52
193.000000	252270	252266	252094	252188	252344	252409	152.67
194.000000	252276	252272	252098	252194	252351	252416	155.94
195.000000	252283	252278	252103	252199	252358	252423	158.44
196.000000	252289	252284	252107	252204	252365	252430	156.24
197.000000	252296	252291	252111	252209	252372	252437	157.36
198.000000	252302	252297	252115	252214	252379	252445	160.50
199.000000	252308	252303	252119	252219	252387	252452	158.37
200.000000	252314	252309	252123	252225	252394	252460	166.16
201.000000	252321	252315	252127	252229	252401	252468	175.57
202.000000	252326	252321	252131	252235	252407	252473	189.20
203.000000	252331	252326	252135	252240	252412	252478	192.13
204.000000	252337	252330	252139	252245	252416	252482	194.29
205.000000	252342	252335	252143	252250	252421	252486	197.98
206.000000	252347	252340	252147	252255	252425	252490	200.22
207.000000	252352	252345	252151	252261	252430	252494	194.11
208.000000	252357	252350	252155	252265	252434	252498	204.30
209.000000	252362	252354	252159	252270	252438	252502	202.01
210.000000	252367	252359	252163	252275	252443	252506	196.60
211.000000	252372	252364	252167	252280	252447	252511	201.49
212.000000	252377	252369	252170	252285	252452	252515	209.00
213.000000	252382	252373	252174	252290	252457	252520	208.01
214.000000	252387	252378	252179	252295	252461	252525	211.11
215.000000	252391	252383	252182	252299	252466	252531	212.73
216.000000	252396	252388	252186	252304	252470	252536	207.59
217.000000	252401	252392	252190	252309	252475	252541	211.59
218.000000	252406	252397	252194	252314	252480	252547	217.10
219.000000	252410	252402	252198	252318	252485	252552	215.94
220.000000	252415	252406	252202	252323	252489	252558	218.79
221.000000	252419	252411	252206	252327	252494	252563	216.55
222.000000	252424	252415	252209	252332	252499	252569	220.55
223.000000	252428	252420	252213	252336	252503	252575	220.12
224.000000	252433	252425	252218	252341	252508	252581	221.66
225.000000	252438	252429	252221	252345	252513	252587	224.92
226.000000	252442	252434	252225	252350	252517	252593	222.21
227.000000	252446	252438	252229	252354	252522	252599	229.30
228.000000	252451	252443	252233	252359	252527	252604	230.36
229.000000	252455	252448	252237	252363	252532	252610	230.03
230.000000	252460	252452	252241	252367	252536	252616	226.15
231.000000	252464	252457	252245	252372	252541	252622	228.86
232.000000	252468	252461	252250	252376	252546	252628	232.28
233.000000	252473	252466	252254	252381	252551	252633	228.83
234.000000	252477	252470	252258	252385	252555	252639	232.86
235.000000	252481	252475	252263	252389	252560	252644	238.39
236.000000	252485	252479	252267	252394	252565	252650	239.17
237.000000	252490	252484	252271	252398	252570	252655	238.57
238.000000	252494	252488	252276	252402	252574	252660	245.84
239.000000	252498	252492	252281	252407	252579	252665	239.48
240.000000	252502	252497	252286	252411	252584	252670	238.85
241.000000	252506	252501	252291	252415	252588	252675	240.02
242.000000	252510	252506	252296	252420	252593	252680	243.72
243.000000	252515	252510	252301	252424	252597	252684	239.82
244.000000	252519	252514	252307	252428	252602	252688	239.64
245.000000	252523	252519	252312	252432	252606	252693	239.44
246.000000	252527	252523	252318	252437	252611	252697	242.48
247.000000	252531	252527	252324	252441	252615	252701	246.36
248.000000	252535	252532	252330	252446	252619	252705	249.05
249.000000	252539	252536	252335	252450	252624	252709	239.29
250.000000	252543	252540	252341	252454	252628	252713	243.83
251.000000	252548	252544	252347	252459	252632	252717	250.12
252.000000	252552	252549	252353	252463	252636	252721	246.79
253.000000	252556	252553	252359	252468	252640	252725	244.96
254.000000	252560	252557	252365	252472	252644	252729	244.27
255.000000	252564	252562	252371	252477	252649	252733	235.15
256.000000	252568	252566	252378	252481	252653	252737	236.69
257.000000	252572	252570	252384	252486	252657	252741	233.75
258.000000	252577	252575	252390	252490	252661	252744	230.98
259.000000	252581	252579	252396	252495	252665	252749	229.99
260.000000	252585	252584	252402	252499	252670	252752	227.06
261.000000	252590	252588	252409	252504	252674	252756	227.57
262.000000	252594	252593	252415	252509	252678	252760	225.33
263.000000	252598	252597	252421	252514	252683	252764	224.00
264.000000	252603	252602	252427	252518	252687	252768	220.25
265.000000	252607	252607	252433	252523	252692	252772	218.42
266.000000	252612	252611	252440	252528	252696	252776	221.92
267.000000	252617	252616	252446	252533	252701	252780	215.15
268.000000	252621	252621	252452	252538	252705	252784	215.56
269.000000	252626	252625	252458	252542	252710	252788	214.74
270.000000	252630	252630	252465	252547	252714	252792	215.94
271.000000	252635	252635	252471	252552	252719	252796	209.44
272.000000	252640	252640	252477	252557	252724	252801	207.30
273.000000	252645	252645	252483	252562	252728	252805	212.57
274.000000	252649	252649	252490	252567	252733	252810	210.76
275.000000	252654	252654	252495	252572	252738	252814	212.85
276.000000	252659	252659	252501	252576	252743	252818	206.77
277.000000	252664	252664	252508	252581	252747	252823	205.87
278.000000	252669	252669	252513	252586	252752	252827	208.96
279.000000	252673	252674	252519	252591	252757	252832	210.55
280.000000	252678	252679	252525	252596	252762	252837	205.07
281.000000	252683	252683	252530	252601	252767	252841	205.22
282.000000	252688	252688	252535	252605	252772	252846	206.63
283.000000	252693	252693	252540	252610	252777	252851	210.36
284.000000	252697	252698	252545	252615	252782	252856	206.09
285.000000	252702	252703	252550	252619	252787	252861	202.59
286.000000	252707	252708	252555	252624	252792	252866	206.93
287.000000	252712	252713	252560	252628	252798	252871	198.74
288.000000	252717	252718	252565	252633	252803	252876	202.35
289.000000	252722	252723	252569	252637	252808	252881	201.92
290.000000	252727	252728	252573	252642	252813	252886	201.82
291.000000	252732	252732	252577	252646	252819	252892	207.14
292.000000	252737	252737	252581	252651	252824	252897	200.89
293.000000	252742	252742	252585	252655	252830	252902	201.82
294.000000	252747	252747	252589	252659	252835	252908	204.58
295.000000	252752	252752	252592	252664	252840	252914	205.01
296.000000	252756	252757	252596	252668	252846	252920	204.37
297.000000	252761	252762	252600	252672	252852	252925	203.87
298.000000	252766	252767	252604	252676	252857	252932	204.36
299.000000	252771	252772	252607	252681	252863	252938	203.49
300.000000	252776	252777	252611	252685	252868	252944	200.71
301.000000	252781	252782	252614	252689	252874	252950	193.30
302.000000	252786	252787	252619	252694	252880	252956	186.72
302.500000	252789	252789	252621	252696	252883	252958	NaN
