% IntCal13 raw data downloaded from http://intcal.qub.ac.uk/intcal13/ 
% Downloaded in 2016. As of 2020, the url redirects to IntCal20 data.						
%...Col 1	2	3	4	5	6	7
% setno	division	calage	calspan	calsig	c14age	c14sig
1	1	64	1	0	114	46
1	1	63	1	0	88	42
1	1	62	1	0	98	35
1	1	61	1	0	99	20
1	1	60	1	0	90	18
1	1	59	1	0	76	18
1	1	58	1	0	92	18
1	1	57	1	0	58	18
1	1	56	1	0	63	18
1	1	55	1	0	61	18
1	1	54	1	0	61	14
1	1	53	1	0	85	18
1	1	52	1	0	77	20
1	1	51	1	0	89	17
1	1	50	1	0	78	20
1	1	49	1	0	26	17
1	1	49	1	0	45	18
1	1	48	1	0	51	18
1	1	48	1	0	82	18
1	1	47	1	0	80	18
1	1	46	1	0	77	18
1	1	45	1	0	91	18
1	1	44	1	0	75	18
1	1	43.5	4	0	106	20
1	1	42	1	0	117	18
1	1	41	1	0	93	17
1	1	40	1	0	101	18
1	1	39	1	0	114	18
1	1	38	1	0	106	20
1	1	37	1	0	96	18
1	1	37	1	0	86	18
1	1	36	1	0	83	17
1	1	35	1	0	85	18
1	1	34	1	0	113	17
1	1	33	1	0	118	18
1	1	32	1	0	122	18
1	1	31	1	0	115	17
1	1	30	1	0	152	20
1	1	29	1	0	145	17
1	1	28	1	0	128	17
1	1	27	1	0	132	13
1	1	26	1	0	124	18
1	1	25	1	0	132	18
1	1	24	1	0	126	18
1	1	23	1	0	148	14
1	1	22	1	0	144	18
1	1	21	1	0	176	18
1	1	20	1	0	134	18
1	2	130	1	0	101	23
1	2	130	1	0	90	23
1	2	130	1	0	100	18
1	2	129	1	0	123	17
1	2	129	1	0	82	18
1	2	128	1	0	128	17
1	2	127	1	0	100	18
1	2	126	1	0	114	13
1	2	125	1	0	107	17
1	2	124	1	0	103	17
1	2	123	1	0	71	17
1	2	123	1	0	96	17
1	2	122	1	0	101	18
1	2	122	1	0	97	17
1	2	122	1	0	88	18
1	2	121	1	0	76	17
1	2	120	1	0	86	17
1	2	119	1	0	104	13
1	2	118	1	0	97	14
1	2	117	1	0	110	14
1	2	116	1	0	114	21
1	2	115	1	0	112	17
1	2	114	1	0	117	18
1	2	113	1	0	139	14
1	2	112	1	0	101	30
1	2	112	1	0	139	17
1	2	112	1	0	118	18
1	2	112	1	0	126	26
1	2	112	1	0	152	26
1	2	111	1	0	121	27
1	2	110.5	2	0	113	17
1	2	110	1	0	117	26
1	2	109	1	0	157	26
1	2	109	1	0	130	26
1	2	108	1	0	122	26
1	2	108	1	0	113	17
1	2	107	1	0	104	20
1	2	107	1	0	127	13
1	2	106	1	0	96	27
1	2	106	1	0	113	14
1	2	105	1	0	122	26
1	2	104	1	0	113	26
1	2	103.5	2	0	97	17
1	2	103	1	0	118	27
1	2	102	1	0	116	26
1	2	101.5	2	0	112	20
1	2	101	1	0	87	26
1	2	100	1	0	109	26
1	2	99	1	0	116	26
1	2	98	1	0	95	26
1	2	97	1	0	141	27
