Undatable run on 2023-10-02 23:51:08. nsim=100000 bootpc=30 xfactor=0.1 combine=Yes
Depth	Median age	Mean age	95.4% age	68.2% age	68.2% age	95.4% age	Median SAR	
58.400000	251731	251739	251538	251627	251852	251985	-323.18
59.000000	251729	251737	251536	251624	251851	251984	517.61
60.000000	251731	251739	251540	251626	251853	251986	501.38
61.000000	251733	251741	251543	251628	251855	251986	493.97
62.000000	251735	251743	251546	251630	251856	251988	507.04
63.000000	251737	251745	251549	251633	251858	251989	473.91
64.000000	251739	251747	251552	251635	251860	251990	498.56
65.000000	251741	251749	251555	251637	251861	251991	477.95
66.000000	251743	251751	251558	251639	251863	251993	478.29
67.000000	251745	251753	251561	251641	251865	251994	490.49
68.000000	251747	251755	251563	251643	251867	251995	488.29
69.000000	251749	251757	251566	251646	251869	251996	479.40
70.000000	251751	251759	251568	251648	251871	251998	480.42
71.000000	251753	251761	251570	251650	251873	251999	477.10
72.000000	251755	251763	251572	251652	251874	252000	479.15
73.000000	251757	251765	251574	251654	251876	252001	465.91
74.000000	251760	251767	251577	251656	251878	252003	485.95
75.000000	251762	251769	251579	251658	251880	252004	484.69
76.000000	251764	251771	251581	251660	251882	252005	462.03
77.000000	251766	251773	251582	251662	251884	252007	469.03
78.000000	251768	251775	251584	251664	251886	252008	459.25
79.000000	251770	251777	251586	251666	251888	252010	490.53
80.000000	251772	251779	251588	251668	251890	252011	466.84
81.000000	251774	251781	251590	251670	251892	252013	471.94
82.000000	251776	251783	251592	251671	251895	252014	463.80
83.000000	251779	251785	251594	251673	251897	252016	486.73
84.000000	251781	251787	251595	251675	251899	252017	478.24
85.000000	251783	251789	251597	251677	251901	252019	477.93
86.000000	251785	251791	251598	251679	251903	252020	505.04
87.000000	251787	251793	251600	251680	251905	252022	481.18
88.000000	251789	251795	251602	251682	251907	252023	488.27
89.000000	251791	251796	251603	251684	251909	252025	498.43
90.000000	251793	251798	251604	251685	251911	252026	489.81
91.000000	251795	251800	251606	251687	251913	252028	509.73
92.000000	251797	251802	251607	251689	251915	252030	469.41
93.000000	251799	251804	251609	251691	251917	252032	484.03
94.000000	251801	251806	251610	251692	251919	252034	480.92
95.000000	251803	251808	251611	251694	251921	252035	475.42
96.000000	251805	251810	251613	251696	251923	252037	482.88
97.000000	251807	251812	251614	251697	251925	252039	470.45
98.000000	251810	251814	251615	251699	251928	252041	465.96
99.000000	251812	251816	251617	251700	251930	252043	481.18
100.000000	251814	251818	251618	251702	251932	252046	473.54
101.000000	251816	251820	251619	251704	251934	252048	476.84
102.000000	251818	251822	251620	251705	251937	252050	467.21
103.000000	251820	251824	251622	251707	251939	252052	460.13
104.000000	251822	251826	251623	251708	251941	252054	523.99
105.000000	251824	251828	251624	251710	251944	252057	491.11
106.000000	251826	251830	251625	251711	251946	252059	484.34
107.000000	251828	251832	251627	251713	251948	252062	477.19
108.000000	251830	251834	251628	251714	251951	252065	494.50
109.000000	251832	251836	251629	251716	251953	252068	509.45
110.000000	251834	251838	251630	251717	251956	252071	521.51
111.000000	251836	251840	251631	251719	251958	252074	522.04
112.000000	251838	251842	251632	251720	251961	252076	500.69
113.000000	251840	251844	251633	251722	251963	252080	502.90
114.000000	251842	251846	251635	251723	251966	252083	497.95
115.000000	251844	251848	251636	251725	251968	252086	525.79
116.000000	251846	251850	251637	251726	251971	252090	531.98
117.000000	251848	251852	251638	251728	251974	252093	536.13
118.000000	251850	251854	251639	251729	251976	252097	586.72
119.000000	251852	251855	251640	251730	251978	252101	489.86
120.000000	251854	251857	251641	251731	251981	252103	396.40
121.000000	251856	251860	251644	251734	251983	252106	315.13
122.000000	251859	251863	251648	251737	251986	252108	254.33
123.000000	251863	251867	251652	251742	251989	252111	241.97
124.000000	251867	251871	251656	251746	251992	252113	248.14
125.000000	251871	251874	251660	251750	251996	252116	243.41
126.000000	251876	251878	251663	251755	252000	252119	245.14
127.000000	251880	251882	251665	251759	252003	252122	237.06
128.000000	251884	251886	251668	251763	252007	252125	243.30
129.000000	251888	251890	251670	251767	252011	252128	237.37
130.000000	251892	251894	251672	251771	252015	252131	244.97
131.000000	251896	251898	251673	251774	252019	252135	240.38
132.000000	251900	251901	251675	251778	252023	252138	242.93
133.000000	251904	251905	251676	251781	252027	252142	254.24
134.000000	251908	251909	251678	251784	252031	252146	271.68
135.000000	251912	251912	251679	251787	252035	252151	264.79
136.000000	251916	251916	251680	251790	252040	252155	267.96
137.000000	251920	251919	251681	251792	252044	252158	278.25
138.000000	251923	251922	251682	251795	252048	252163	263.08
139.000000	251927	251926	251684	251797	252052	252166	265.52
140.000000	251931	251929	251685	251800	252056	252171	262.21
141.000000	251935	251933	251686	251802	252061	252176	253.93
142.000000	251939	251937	251687	251805	252066	252181	258.23
143.000000	251942	251940	251688	251807	252070	252186	257.49
144.000000	251946	251944	251689	251810	252075	252192	259.30
145.000000	251950	251948	251691	251812	252080	252199	264.23
146.000000	251954	251952	251692	251814	252086	252205	260.13
147.000000	251958	251955	251693	251817	252091	252212	276.34
148.000000	251961	251959	251694	251819	252097	252219	269.85
149.000000	251965	251963	251695	251821	252102	252227	268.05
150.000000	251969	251967	251696	251823	252108	252235	275.13
151.000000	251972	251971	251697	251825	252114	252243	260.26
152.000000	251976	251975	251699	251828	252120	252251	230.82
153.000000	251981	251980	251702	251832	252126	252258	218.59
154.000000	251985	251985	251706	251836	252131	252265	190.10
155.000000	251990	251990	251711	251841	252137	252271	183.18
156.000000	251996	251996	251717	251847	252143	252276	165.23
157.000000	252002	252002	251723	251854	252148	252282	156.44
158.000000	252008	252008	251731	251862	252155	252288	140.28
159.000000	252016	252016	251740	251870	252160	252292	132.02
160.000000	252023	252023	251751	251880	252167	252298	131.09
161.000000	252031	252031	251764	251890	252173	252303	127.68
162.000000	252039	252039	251776	251900	252180	252308	124.21
163.000000	252047	252047	251787	251910	252186	252314	123.71
164.000000	252055	252055	251798	251919	252193	252319	129.02
165.000000	252062	252064	251809	251929	252200	252325	127.71
166.000000	252070	252072	251819	251937	252207	252331	126.07
167.000000	252078	252080	251829	251946	252214	252338	124.32
168.000000	252086	252088	251839	251954	252221	252345	127.59
169.000000	252094	252096	251847	251962	252229	252352	129.74
170.000000	252102	252103	251856	251970	252237	252359	127.50
171.000000	252110	252111	251865	251978	252244	252367	133.52
172.000000	252117	252119	251873	251985	252252	252374	132.24
173.000000	252125	252126	251880	251992	252260	252382	134.21
174.000000	252132	252133	251888	252000	252267	252390	141.26
175.000000	252139	252141	251895	252006	252275	252398	144.66
176.000000	252146	252148	251902	252013	252282	252406	140.70
177.000000	252153	252155	251908	252019	252290	252414	145.18
178.000000	252160	252162	251915	252026	252297	252422	142.27
179.000000	252167	252168	251921	252032	252304	252430	142.77
180.000000	252174	252175	251926	252038	252312	252437	143.74
181.000000	252181	252182	251932	252044	252320	252445	136.56
182.000000	252188	252189	251938	252050	252327	252453	134.25
183.000000	252196	252197	251942	252056	252335	252462	133.13
184.000000	252203	252204	251948	252063	252344	252470	129.95
185.000000	252211	252211	251953	252069	252352	252479	127.09
186.000000	252219	252219	251958	252076	252360	252488	124.19
187.000000	252227	252227	251962	252082	252369	252498	124.80
188.000000	252235	252235	251967	252088	252379	252507	120.06
189.000000	252243	252243	251971	252094	252389	252517	124.38
190.000000	252251	252251	251975	252100	252398	252527	120.57
191.000000	252260	252259	251980	252106	252408	252538	123.39
192.000000	252268	252267	251984	252112	252419	252549	121.31
193.000000	252276	252275	251987	252118	252429	252561	124.79
194.000000	252284	252283	251990	252123	252440	252573	120.73
195.000000	252292	252291	251994	252128	252451	252585	125.00
196.000000	252300	252299	251997	252134	252462	252598	123.58
197.000000	252308	252307	252000	252139	252474	252610	123.93
198.000000	252316	252316	252003	252144	252485	252623	125.40
199.000000	252324	252324	252006	252149	252497	252637	126.53
200.000000	252332	252332	252009	252153	252509	252652	136.54
201.000000	252340	252339	252013	252158	252519	252664	160.77
202.000000	252346	252346	252018	252164	252526	252673	193.80
203.000000	252351	252351	252024	252170	252530	252677	217.77
204.000000	252356	252355	252032	252176	252533	252678	211.58
205.000000	252360	252360	252040	252183	252536	252680	211.29
206.000000	252365	252365	252048	252189	252539	252681	218.41
207.000000	252370	252369	252055	252196	252542	252683	215.96
208.000000	252374	252374	252062	252202	252545	252684	210.73
209.000000	252379	252378	252070	252208	252548	252686	212.45
210.000000	252384	252383	252077	252214	252551	252688	223.07
211.000000	252388	252388	252084	252220	252554	252690	212.82
212.000000	252393	252392	252091	252227	252556	252692	211.71
213.000000	252398	252397	252098	252233	252559	252693	214.36
214.000000	252402	252402	252105	252239	252562	252695	214.00
215.000000	252407	252406	252112	252246	252565	252697	211.22
216.000000	252412	252411	252119	252252	252569	252699	209.25
217.000000	252417	252415	252125	252258	252572	252701	208.75
218.000000	252421	252420	252132	252264	252575	252703	214.99
219.000000	252426	252425	252138	252270	252578	252705	211.93
220.000000	252431	252429	252145	252276	252581	252707	219.18
221.000000	252435	252434	252151	252282	252585	252710	212.71
222.000000	252440	252438	252157	252288	252588	252712	212.59
223.000000	252445	252443	252163	252294	252591	252714	214.53
224.000000	252449	252448	252169	252300	252595	252716	212.95
225.000000	252454	252452	252175	252306	252598	252718	208.90
226.000000	252459	252457	252181	252312	252601	252721	214.74
227.000000	252463	252461	252187	252317	252605	252723	217.75
228.000000	252468	252466	252192	252323	252608	252726	220.29
229.000000	252473	252470	252198	252329	252612	252728	213.90
230.000000	252477	252475	252204	252334	252615	252731	211.42
231.000000	252482	252479	252209	252340	252619	252733	216.07
232.000000	252487	252484	252215	252345	252622	252736	217.95
233.000000	252491	252488	252220	252351	252626	252739	218.25
234.000000	252496	252493	252226	252356	252629	252741	218.83
235.000000	252500	252497	252231	252362	252632	252744	221.39
236.000000	252505	252502	252236	252367	252636	252747	222.68
237.000000	252509	252506	252241	252372	252639	252750	232.99
238.000000	252514	252510	252246	252377	252643	252752	228.32
239.000000	252518	252515	252251	252382	252646	252755	228.79
240.000000	252522	252519	252257	252387	252650	252758	237.18
241.000000	252527	252523	252262	252392	252653	252761	235.87
242.000000	252531	252527	252267	252398	252656	252763	244.82
243.000000	252535	252531	252272	252402	252659	252766	240.45
244.000000	252539	252535	252277	252407	252663	252769	243.01
245.000000	252543	252539	252282	252412	252666	252772	244.65
246.000000	252547	252543	252287	252416	252669	252774	251.87
247.000000	252551	252547	252291	252421	252673	252777	262.59
248.000000	252555	252551	252296	252426	252676	252780	248.74
249.000000	252559	252555	252301	252431	252679	252782	257.70
250.000000	252563	252559	252306	252435	252682	252785	260.51
251.000000	252567	252563	252311	252440	252685	252788	262.39
252.000000	252571	252567	252316	252445	252688	252790	268.03
253.000000	252574	252571	252321	252449	252692	252793	255.80
254.000000	252578	252574	252326	252454	252695	252796	259.83
255.000000	252582	252578	252331	252459	252698	252799	265.68
256.000000	252586	252582	252337	252463	252701	252802	255.96
257.000000	252590	252586	252342	252468	252704	252805	258.82
258.000000	252594	252590	252347	252473	252708	252808	267.52
259.000000	252597	252594	252353	252478	252711	252811	250.23
260.000000	252601	252598	252359	252483	252715	252814	250.49
261.000000	252605	252602	252365	252487	252718	252817	247.53
262.000000	252609	252606	252371	252492	252721	252820	251.15
263.000000	252613	252610	252376	252497	252725	252823	252.52
264.000000	252617	252615	252382	252502	252729	252826	242.25
265.000000	252622	252619	252389	252507	252732	252829	242.00
266.000000	252626	252623	252395	252512	252736	252832	237.19
267.000000	252630	252627	252401	252517	252739	252836	232.64
268.000000	252634	252632	252408	252522	252743	252839	228.78
269.000000	252639	252636	252414	252527	252747	252842	231.07
270.000000	252643	252641	252421	252532	252750	252846	228.82
271.000000	252647	252645	252427	252537	252754	252849	226.97
272.000000	252652	252650	252434	252542	252758	252853	232.88
273.000000	252656	252654	252440	252547	252762	252856	227.82
274.000000	252660	252659	252447	252552	252766	252860	223.32
275.000000	252665	252663	252453	252557	252770	252864	227.04
276.000000	252669	252668	252460	252561	252774	252867	230.29
277.000000	252674	252672	252466	252566	252779	252871	225.39
278.000000	252678	252677	252472	252571	252783	252875	220.53
279.000000	252683	252681	252478	252576	252787	252879	223.65
280.000000	252687	252686	252484	252580	252792	252883	218.93
281.000000	252692	252691	252490	252585	252796	252887	222.12
